allele_accession_id,effect_size,life_stage_name,marker_symbol,mp_term_name,p_value,parameter_name,parameter_stable_id,phenotyping_center,statistical_method,top_level_mp_term_name
MGI:5776369,4.8952322867941,Early adult,Asb2,increased NK cell number,3.37344713903232e-05,NK Cells (panel B),IMPC_IMM_053_001,KMPC,"Linear Mixed Model framework, LME, not including Weight","['immune system phenotype', 'hematopoietic system phenotype']"
MGI:7425649,-0.654602573451875,Early adult,Ehf,decreased fasting circulating glucose level,8.7600103007679e-05,Fasted blood glucose concentration,IMPC_IPG_010_001,KMPC,"Linear Mixed Model framework, LME, not including Weight",['homeostasis/metabolism phenotype']
MGI:6336131,2.99884167796424,Early adult,Qsox2,increased fasting circulating glucose level,9.05418302760609e-11,Fasted blood glucose concentration,IMPC_IPG_010_001,KMPC,"Linear Mixed Model framework, LME, not including Weight",['homeostasis/metabolism phenotype']
MGI:6336110,1.0,Early adult,Ammecr1l,"preweaning lethality, incomplete penetrance",,Homozygous animals viability,IMPC_VIA_067_001,KMPC,Supplied as data,['mortality/aging']
MGI:6120719,1.0,E12.5,Phgdh,hemorrhage,0.0,Hemorrhage,IMPC_GEM_077_001,KMPC,Supplied as data,['cardiovascular system phenotype']
MGI:6336143,1.0,E18.5,Tmem17,unresponsive to tactile stimuli,0.0,Responsive to tactile stimuli,IMPC_GEP_005_002,KMPC,Supplied as data,['behavior/neurological phenotype']
MGI:6336149,-1.90473864087948,Early adult,Tspan5,hyperactivity,1.89996963836882e-06,Whole arena resting time,IMPC_OFD_007_001,KMPC,"Linear Mixed Model framework, LME, not including Weight",['behavior/neurological phenotype']
MGI:6156314,2.13653180387321,Early adult,Lgr5,increased circulating bilirubin level,2.33155823966773e-05,Total bilirubin,IMPC_CBC_008_001,KMPC,"Linear Mixed Model framework, LME, including Weight",['homeostasis/metabolism phenotype']
MGI:6727864,1.0,E9.5,Dapk3,embryonic growth retardation,0.0,Delayed embryonic development,IMPC_GEL_063_001,KMPC,Supplied as data,"['embryo phenotype', 'growth/size/body region phenotype']"
MGI:6336142,,Late adult,Ldaf1,abnormal coat/hair pigmentation,1.71981308934874e-08,Coat - color pattern - back,KMPCLA_CSD_008_001,KMPC,Fisher Exact Test framework,"['integument phenotype', 'pigmentation phenotype']"
MGI:6156329,-2.03470880452095,Early adult,Mir129-2,short tibia,3.43817397835181e-05,Tibia length,IMPC_XRY_033_001,KMPC,"Linear Mixed Model framework, LME, including Weight","['limbs/digits/tail phenotype', 'skeleton phenotype']"
MGI:6162234,-2.27767414066068,Early adult,Edem3,decreased bone mineral content,7.36757718575003e-08,Bone Mineral Content (excluding skull),IMPC_DXA_005_001,KMPC,"Linear Mixed Model framework, LME, including Weight",['skeleton phenotype']
MGI:6156329,2.05337562323118,Early adult,Mir129-2,increased heart weight,4.5920106009399e-05,Heart weight,IMPC_HWT_008_001,KMPC,"Linear Mixed Model framework, LME, including Weight","['cardiovascular system phenotype', 'growth/size/body region phenotype']"
MGI:6160166,-1.17471705465731,Late adult,E2f3,increased total body fat amount,1.65472786648858e-05,Fat mass,KMPCLA_DXA_002_001,KMPC,"Linear Model Using Generalized Least Squares framework, GLS, including Weight",['adipose tissue phenotype']
MGI:6336108,2.70738097394961,Late adult,Afg1l,hyperactivity,1.08003388129131e-06,Distance travelled - total,KMPCLA_OFD_020_001,KMPC,"Linear Mixed Model framework, LME, including Weight",['behavior/neurological phenotype']
MGI:6156300,-1.51583863591113,Early adult,Krt35,abnormal bone structure,9.15632777761521e-05,Bone Area,IMPC_DXA_010_001,KMPC,"Linear Mixed Model framework, LME, including Weight",['skeleton phenotype']
MGI:6120719,1.0,E12.5,Phgdh,abnormal blood vessel morphology,0.0,Vascular morphology,IMPC_GEM_073_001,KMPC,Supplied as data,['cardiovascular system phenotype']
MGI:6336141,1.0,Early adult,Tmem132e,"preweaning lethality, complete penetrance",0.0,Homozygous females viability,IMPC_VIA_064_001,KMPC,Supplied as data,['mortality/aging']
MGI:6336133,1.78962498473281,Early adult,Sdk1,hyperactivity,5.65034663308179e-07,Distance travelled - total,IMPC_OFD_020_001,KMPC,"Linear Model Using Generalized Least Squares framework, GLS, including Weight",['behavior/neurological phenotype']
MGI:5776369,1.0,E9.5,Asb2,abnormal vitelline vasculature morphology,0.0,Vitelline vasculature morphology,IMPC_GEL_015_001,KMPC,Supplied as data,"['embryo phenotype', 'cardiovascular system phenotype']"
MGI:6194941,-1.50973486710486,Early adult,Tmem86a,short tibia,1.50644195363641e-05,Tibia length,IMPC_HWT_002_001,KMPC,"Linear Mixed Model framework, LME, including Weight","['limbs/digits/tail phenotype', 'skeleton phenotype']"
MGI:6188495,2.4133190295518,Early adult,Angptl1,increased blood urea nitrogen level,1.92776259681733e-05,Urea (Blood Urea Nitrogen - BUN),IMPC_CBC_004_001,KMPC,"Linear Mixed Model framework, LME, including Weight",['homeostasis/metabolism phenotype']
MGI:6336117,0.556100903160585,Late adult,Edem1,increased circulating HDL cholesterol level,3.16268056637836e-06,HDL-cholesterol,KMPCLA_CBC_016_001,KMPC,"Linear Mixed Model framework, LME, including Weight",['homeostasis/metabolism phenotype']
MGI:6156345,1.0,E9.5,Romo1,abnormal embryo size,0.0,Embryo Size,IMPC_GEL_032_001,KMPC,Supplied as data,"['embryo phenotype', 'growth/size/body region phenotype']"
MGI:6336148,-0.82647790541645,Early adult,Tspan13,decreased bone mineral density,7.37616537104795e-06,Bone Mineral Density (excluding skull),IMPC_DXA_004_001,KMPC,"Linear Model Using Generalized Least Squares framework, GLS, including Weight",['skeleton phenotype']
MGI:7426050,1.60875260647454,Early adult,Tmtc2,enhanced contextual conditioning behavior,4.3152706081101e-05,Difference in Context and Conditioning Baseline % Freezing,IMPC_FEA_105_001,KMPC,"Linear Mixed Model framework, LME, including Weight",['behavior/neurological phenotype']
